label	predict	gamma LCB	radius	time	N samples
9	9	0.5996	0.2524	0:00:00.074044	1000
9	9	0.692	0.5015	0:00:00.067881	1000
9	18	0.7482	0.6687	0:00:00.067652	1000
9	9	0.7979	0.834	0:00:00.067441	1000
9	9	0.5274	0.06871	0:00:00.067785	1000
18	18	0.7752	0.7561	0:00:00.067785	1000
18	48	0.5198	0.04972	0:00:00.067556	1000
18	18	0.5517	0.13	0:00:00.068243	1000
18	18	0.5049	0.01229	0:00:00.335234	5000
18	18	0.72	0.5827	0:00:00.067592	1000
41	42	0.5461	0.1159	0:00:00.203942	3000
41	41	0.5021	0.005151	0:00:00.804738	12000
41	48	0.556	0.141	0:00:00.067706	1000
41	18	0.7103	0.5544	0:00:00.067493	1000
41	18	0.6465	0.3758	0:00:00.067836	1000
42	9	0.7244	0.5958	0:00:00.067593	1000
42	42	0.5287	0.07191	0:00:00.067508	1000
42	18	0.5327	0.08199	0:00:00.068086	1000
42	48	0.537	0.09288	0:00:00.067749	1000
42	42	0.5567	0.1427	0:00:00.067565	1000
48	42	0.5345	0.08662	0:00:00.068279	1000
48	18	0.6741	0.4514	0:00:00.067587	1000
48	18	0.5546	0.1374	0:00:00.067898	1000
48	41	0.6479	0.3798	0:00:00.067817	1000
48	48	0.5111	0.02792	0:00:00.134334	2000
12	12	0.7485	0.6697	0:00:00.067656	1000
12	36	0.5236	0.05913	0:00:00.067733	1000
12	12	0.6021	0.2587	0:00:00.067651	1000
12	44	0.8213	0.9202	0:00:00.134781	2000
12	14	0.5099	0.02479	0:00:00.135097	2000
14	14	0.6289	0.329	0:00:00.067550	1000
14	44	0.5441	0.1107	0:00:00.067354	1000
14	14	0.678	0.462	0:00:00.603648	9000
14	36	0.5058	0.01462	0:00:00.404203	6000
14	14	0.5286	0.0718	0:00:00.067521	1000
23	14	0.5982	0.2486	0:00:00.067866	1000
23	14	0.5637	0.1603	0:00:00.067823	1000
23	-1.0	0.0	-1.0	0:00:06.710540	100000
23	12	0.5795	0.2006	0:00:00.067261	1000
23	14	0.6387	0.3549	0:00:00.067940	1000
36	23	0.63	0.3318	0:00:00.067273	1000
36	23	0.7131	0.5626	0:00:00.067439	1000
36	36	0.5617	0.1552	0:00:00.068087	1000
36	23	0.5989	0.2506	0:00:00.067538	1000
36	36	0.5148	0.03707	0:00:00.067437	1000
44	36	0.6565	0.4029	0:00:00.335314	5000
44	44	0.6398	0.358	0:00:00.067625	1000
44	44	0.568	0.1714	0:00:00.067794	1000
44	44	0.6892	0.4936	0:00:00.068072	1000
44	44	0.5129	0.03241	0:00:00.067970	1000
3	40	0.6194	0.3038	0:00:00.067682	1000
3	18	0.6954	0.5111	0:00:01.073397	16000
3	-1.0	0.0	-1.0	0:00:06.709791	100000
3	18	0.5503	0.1265	0:00:00.067310	1000
3	18	0.5888	0.2245	0:00:00.067753	1000
7	40	0.6398	0.3579	0:00:00.067421	1000
7	7	0.5907	0.2295	0:00:00.067584	1000
7	7	0.5797	0.2011	0:00:00.067962	1000
7	7	0.5119	0.0299	0:00:00.134880	2000
7	7	0.7079	0.5473	0:00:00.067546	1000
18	3	0.7492	0.672	0:00:00.067693	1000
18	40	0.5559	0.1405	0:00:00.067827	1000
18	40	0.5278	0.06975	0:00:00.067719	1000
18	3	0.7399	0.6431	0:00:00.067781	1000
18	18	0.533	0.08287	0:00:00.068006	1000
24	18	0.5089	0.02228	0:00:00.134465	2000
24	18	0.6186	0.3019	0:00:00.067740	1000
24	24	0.5247	0.06203	0:00:00.067802	1000
24	40	0.6824	0.4745	0:00:00.067760	1000
24	40	0.5039	0.009898	0:00:00.607292	9000
40	40	0.6713	0.4434	0:00:00.067666	1000
40	3	0.6725	0.4468	0:00:00.067800	1000
40	3	0.7221	0.5891	0:00:00.067629	1000
40	3	0.7823	0.7801	0:00:00.067529	1000
40	3	0.7474	0.6663	0:00:00.067479	1000
32	49	0.6271	0.3241	0:00:00.067568	1000
32	38	0.7291	0.6102	0:00:00.067406	1000
32	38	0.5932	0.2358	0:00:00.067560	1000
32	38	0.7277	0.6058	0:00:00.067861	1000
32	49	0.6601	0.4129	0:00:00.067746	1000
36	38	0.5121	0.03039	0:00:00.469833	7000
36	36	0.626	0.3213	0:00:00.067465	1000
36	43	0.5708	0.1785	0:00:00.067738	1000
36	36	0.6983	0.5196	0:00:00.067423	1000
36	36	0.6585	0.4084	0:00:00.067391	1000
38	36	0.5028	0.007081	0:00:00.803200	12000
38	43	0.5375	0.09407	0:00:00.067587	1000
38	32	0.5226	0.05657	0:00:01.548798	22000
38	36	0.551	0.1283	0:00:00.067891	1000
38	32	0.5721	0.1818	0:00:00.067496	1000
43	43	0.5444	0.1114	0:00:00.134496	2000
43	43	0.5081	0.02026	0:00:00.201358	3000
43	43	0.5391	0.09818	0:00:00.067435	1000
43	43	0.7267	0.6029	0:00:00.067315	1000
43	32	0.5319	0.08001	0:00:00.067518	1000
49	49	0.5868	0.2194	0:00:00.067468	1000
49	49	0.8462	1.02	0:00:00.067246	1000
49	49	0.8872	1.212	0:00:00.067185	1000
49	49	0.5622	0.1566	0:00:00.067414	1000
49	36	0.6166	0.2966	0:00:00.067495	1000
