label	predict	gamma LCB	radius	time	N samples
4	8	0.5375	0.09415	0:00:00.077966	1000
4	4	0.651	0.388	0:00:00.067853	1000
4	4	0.726	0.6006	0:00:00.269535	4000
4	4	0.8466	1.022	0:00:00.067854	1000
4	11	0.6553	0.3996	0:00:00.067746	1000
8	8	0.7515	0.6792	0:00:00.067562	1000
8	8	0.5996	0.2524	0:00:00.067840	1000
8	8	0.6485	0.3811	0:00:00.068133	1000
8	8	0.6445	0.3704	0:00:00.067601	1000
8	8	0.7377	0.6364	0:00:00.068091	1000
11	11	0.8964	1.261	0:00:00.068017	1000
11	11	0.6749	0.4536	0:00:00.067743	1000
11	11	0.8062	0.8642	0:00:00.067696	1000
11	11	0.7749	0.755	0:00:00.135239	2000
11	11	0.7976	0.833	0:00:00.067826	1000
12	4	0.6044	0.2648	0:00:00.067809	1000
12	17	0.5514	0.1292	0:00:00.067843	1000
12	4	0.7007	0.5265	0:00:00.067669	1000
12	4	0.6768	0.4588	0:00:00.067771	1000
12	11	0.5539	0.1355	0:00:00.269414	4000
17	17	0.6592	0.4103	0:00:00.067669	1000
17	8	0.5704	0.1773	0:00:00.067626	1000
17	17	0.7367	0.6332	0:00:00.067986	1000
17	17	0.5631	0.1588	0:00:00.067645	1000
17	17	0.6362	0.3484	0:00:00.067971	1000
4	4	0.5835	0.2108	0:00:00.067858	1000
4	4	0.6153	0.2931	0:00:00.067743	1000
4	4	0.8673	1.113	0:00:00.269703	4000
4	4	0.7661	0.7261	0:00:00.067736	1000
4	4	0.5536	0.1347	0:00:00.067742	1000
9	9	0.6478	0.3794	0:00:00.067890	1000
9	13	0.6992	0.5222	0:00:00.067667	1000
9	13	1.097	nan	0:00:00.067736	1000
9	13	0.5587	0.1476	0:00:00.269603	4000
9	13	0.6852	0.4824	0:00:00.068593	1000
13	13	0.5922	0.2332	0:00:00.134758	2000
13	9	0.6206	0.307	0:00:00.067638	1000
13	13	0.5633	0.1594	0:00:00.202185	3000
13	9	0.6582	0.4077	0:00:00.078376	1000
13	13	0.7722	0.746	0:00:00.075123	1000
16	19	0.5297	0.07448	0:00:00.177620	1000
16	4	0.5283	0.07103	0:00:00.176728	1000
16	13	0.9633	1.79	0:00:00.177053	1000
16	9	0.6377	0.3523	0:00:00.177256	1000
