label	predict	radius	time
12	35	0.09057	0:00:25.565274
12	12	0.318	0:00:06.127700
12	35	0.22	0:00:11.716473
12	42	0.03964	0:00:50.803861
12	35	0.06699	0:01:03.211684
35	35	0.2128	0:00:07.392918
35	35	0.2111	0:00:05.139369
35	12	0.1057	0:00:18.301080
35	35	0.1285	0:00:06.820529
35	-1.0	-1.0	0:01:52.309445
41	12	0.6235	0:00:05.220444
41	12	0.07897	0:00:41.272268
41	12	0.3475	0:00:05.806085
41	35	0.2954	0:00:05.160351
41	12	0.6938	0:00:05.867300
42	12	0.06396	0:00:45.001736
42	-1.0	-1.0	0:02:05.161070
42	42	0.09783	0:00:14.138579
42	-1.0	-1.0	0:01:49.932307
42	45	0.07905	0:00:58.540731
45	35	0.06454	0:00:59.639125
45	12	0.2348	0:00:12.047811
45	12	0.298	0:00:12.371202
45	42	0.6325	0:00:06.302629
45	-1.0	-1.0	0:01:56.879443
1	1	0.4876	0:00:05.177810
1	1	0.4998	0:00:05.620437
1	1	0.2012	0:00:09.110257
1	1	0.501	0:00:08.599117
1	-1.0	-1.0	0:01:51.275895
4	43	0.05339	0:00:35.001075
4	4	0.2579	0:00:05.935308
4	4	0.2534	0:00:06.880296
4	-1.0	-1.0	0:01:41.958135
4	4	0.1807	0:00:05.672749
28	1	0.2582	0:00:05.340580
28	-1.0	-1.0	0:01:39.055372
28	1	0.1325	0:00:07.728663
28	28	0.2096	0:00:05.954521
28	1	0.792	0:00:05.410826
32	1	0.04188	0:01:26.053240
32	1	0.5035	0:00:07.671852
32	4	0.5521	0:00:14.963704
32	1	0.4452	0:00:07.389023
32	28	0.2988	0:00:32.971378
43	28	0.1446	0:00:06.436577
43	-1.0	-1.0	0:01:38.180102
43	43	0.3789	0:00:06.558306
43	4	0.1283	0:00:07.463931
43	43	0.1015	0:00:52.803665
4	4	0.04908	0:01:06.587625
4	26	0.3023	0:00:06.114750
4	4	0.296	0:00:05.407687
4	26	0.3924	0:00:08.563640
4	4	0.6093	0:00:07.238831
12	12	0.1914	0:00:05.718398
12	26	0.2111	0:00:07.529807
12	-1.0	-1.0	0:01:35.872373
12	4	0.09839	0:00:14.576691
12	12	0.4388	0:00:12.842810
26	26	0.3851	0:00:05.764951
26	12	0.04536	0:00:35.333872
26	26	0.151	0:00:17.331509
26	-1.0	-1.0	0:01:27.796689
26	26	0.05448	0:00:39.333298
33	33	0.6391	0:00:05.718102
33	33	0.551	0:00:06.983901
33	33	0.1929	0:00:05.783077
33	37	0.1018	0:00:13.481934
33	33	0.351	0:00:06.417272
37	-1.0	-1.0	0:01:44.785142
37	37	0.3514	0:00:05.230803
37	37	0.2965	0:00:05.152545
37	37	0.4584	0:00:05.896269
37	37	0.577	0:00:05.908155
10	10	0.08636	0:01:36.110943
10	10	0.1383	0:00:28.369230
10	46	0.08049	0:00:37.864050
10	-1.0	-1.0	0:01:31.440903
10	-1.0	-1.0	0:01:38.119537
12	46	0.3491	0:00:07.307738
12	49	0.2935	0:00:05.969753
12	46	0.3755	0:00:05.899453
12	-1.0	-1.0	0:01:36.078396
12	-1.0	-1.0	0:01:43.896524
44	46	0.4162	0:00:05.917613
44	46	0.07025	0:01:10.256864
44	-1.0	-1.0	0:01:45.503397
44	49	0.3515	0:00:05.446692
44	46	0.07409	0:00:51.319322
46	46	0.1363	0:00:10.976145
46	-1.0	-1.0	0:01:42.859641
46	46	0.09559	0:00:18.881445
46	10	0.1472	0:00:41.684062
