label	predict	gamma LCB	radius	time	N samples
4	12	0.5613	0.1543	0:00:00.267629	1000
4	4	0.7069	0.5444	0:00:00.522983	2000
4	12	0.548	0.1205	0:00:00.254300	1000
4	12	0.599	0.2507	0:00:00.551056	2000
4	12	0.6236	0.3148	0:00:00.275670	1000
8	8	0.5508	0.1277	0:00:00.275195	1000
8	17	0.5914	0.2311	0:00:00.255818	1000
8	8	0.5573	0.1442	0:00:00.255350	1000
8	12	0.5089	0.02239	0:00:00.276290	1000
8	8	0.5768	0.1938	0:00:00.276401	1000
11	17	0.5113	0.0284	0:00:00.276014	1000
11	17	0.5686	0.1729	0:00:00.274854	1000
11	17	0.5103	0.0258	0:00:00.252921	1000
11	17	0.5477	0.1199	0:00:00.256503	1000
11	17	0.5246	0.06166	0:00:00.255158	1000
12	8	0.5171	0.04286	0:00:00.276488	1000
12	17	0.5268	0.06725	0:00:00.276158	1000
12	17	0.5837	0.2113	0:00:00.276833	1000
12	17	0.6767	0.4584	0:00:00.276136	1000
12	12	0.5514	0.1292	0:00:00.275871	1000
17	17	0.6225	0.3122	0:00:00.277292	1000
17	17	0.7655	0.724	0:00:00.275880	1000
17	17	0.69	0.4959	0:00:00.275965	1000
17	17	0.5766	0.1931	0:00:00.275966	1000
17	12	0.5315	0.07898	0:00:00.255641	1000
7	19	0.6337	0.3416	0:00:00.253971	1000
7	11	0.5693	0.1746	0:00:00.276401	1000
7	7	0.5332	0.08325	0:00:00.276708	1000
7	7	0.533	0.08287	0:00:00.275832	1000
7	7	0.5637	0.1604	0:00:00.277038	1000
10	19	0.5506	0.1272	0:00:00.275411	1000
10	10	0.568	0.1713	0:00:00.276078	1000
10	11	0.5437	0.1097	0:00:00.275620	1000
10	10	0.6668	0.431	0:00:01.381469	5000
10	10	0.5742	0.187	0:00:00.276080	1000
11	10	0.5604	0.1519	0:00:00.275562	1000
11	10	0.5442	0.1109	0:00:00.276641	1000
11	10	0.5584	0.1469	0:00:00.277037	1000
11	10	0.6589	0.4094	0:00:00.276747	1000
11	10	0.8014	0.8465	0:00:00.276070	1000
14	10	0.5098	0.0246	0:00:00.552924	2000
14	7	0.5047	0.01191	0:00:01.850339	7000
14	10	0.6906	0.4976	0:00:00.266621	1000
