label	predict	gamma LCB	radius	time	N samples
4	12	0.5612	0.1539	0:00:00.277302	1000
4	4	0.7068	0.5441	0:00:00.550858	2000
4	12	0.5478	0.1201	0:00:00.276309	1000
4	12	0.5988	0.2503	0:00:00.552365	2000
4	12	0.6234	0.3143	0:00:00.274849	1000
8	8	0.5507	0.1274	0:00:00.275506	1000
8	17	0.5913	0.2308	0:00:00.255540	1000
8	8	0.5572	0.1439	0:00:00.255672	1000
8	12	0.5088	0.02204	0:00:00.551778	2000
8	8	0.5767	0.1935	0:00:00.276739	1000
11	17	0.5112	0.02812	0:00:00.276205	1000
11	17	0.5685	0.1725	0:00:00.255951	1000
11	17	0.5102	0.0255	0:00:00.276563	1000
11	17	0.5476	0.1196	0:00:00.276211	1000
11	17	0.5244	0.06115	0:00:00.276384	1000
12	8	0.517	0.04251	0:00:00.274977	1000
12	17	0.5267	0.06691	0:00:00.276037	1000
12	17	0.5834	0.2107	0:00:00.275195	1000
12	17	0.6765	0.4578	0:00:00.235647	1000
12	12	0.5513	0.129	0:00:00.251905	1000
17	17	0.6224	0.3118	0:00:00.272403	1000
17	17	0.7653	0.7234	0:00:00.269290	1000
17	17	0.6898	0.4952	0:00:00.272116	1000
17	17	0.5764	0.1926	0:00:00.272537	1000
17	12	0.5313	0.07845	0:00:00.271109	1000
7	19	0.6335	0.3413	0:00:00.253056	1000
7	11	0.5692	0.1742	0:00:00.270432	1000
7	7	0.5329	0.08259	0:00:00.272339	1000
7	7	0.5329	0.08248	0:00:00.272346	1000
7	7	0.5636	0.16	0:00:00.269285	1000
10	19	0.5505	0.1269	0:00:00.256938	1000
10	10	0.5679	0.171	0:00:00.230788	1000
10	11	0.5435	0.1093	0:00:00.230245	1000
10	10	0.6666	0.4306	0:00:01.854038	7000
10	10	0.5739	0.1864	0:00:00.276326	1000
11	10	0.5602	0.1515	0:00:00.256080	1000
11	10	0.544	0.1106	0:00:00.276553	1000
11	10	0.5583	0.1466	0:00:00.274670	1000
11	10	0.6587	0.4089	0:00:00.272087	1000
11	10	0.8011	0.8454	0:00:00.271973	1000
14	10	0.5095	0.02394	0:00:00.801321	3000
14	7	0.5045	0.0114	0:00:02.486349	9000
14	10	0.6904	0.4968	0:00:00.276386	1000
14	19	0.5475	0.1193	0:00:00.276109	1000
