label	predict	gamma LCB	radius	time	N samples
9	9	0.6494	0.3838	0:00:00.275936	1000
9	9	0.7127	0.5614	0:00:00.275473	1000
9	9	0.6871	0.4875	0:00:00.275437	1000
9	9	0.7314	0.617	0:00:00.553801	2000
9	18	0.618	0.3002	0:00:00.276244	1000
18	18	0.7963	0.8283	0:00:00.275708	1000
18	18	0.6663	0.4297	0:00:01.383119	5000
18	18	0.6487	0.3818	0:00:00.275781	1000
18	18	0.5091	0.02287	0:00:01.383115	5000
18	18	0.7223	0.5896	0:00:00.276424	1000
41	41	0.6626	0.4195	0:00:00.282564	1000
41	41	0.6954	0.5111	0:00:00.276263	1000
41	18	0.5349	0.08754	0:00:00.559290	2000
41	42	0.5766	0.1932	0:00:00.275444	1000
41	41	0.5021	0.005335	0:00:14.516589	53000
42	42	0.7365	0.6326	0:00:00.276567	1000
42	41	0.5041	0.01021	0:00:00.552559	2000
42	42	0.777	0.7622	0:00:00.277001	1000
42	9	0.5356	0.08927	0:00:00.276677	1000
42	42	0.5886	0.2238	0:00:00.282416	1000
48	-1.0	0.0	-1.0	0:00:27.370651	100000
48	42	0.5009	0.002357	0:00:20.592180	76000
48	41	0.5128	0.03207	0:00:02.498015	9000
48	42	0.6166	0.2966	0:00:00.256561	1000
48	48	0.5986	0.2497	0:00:00.158097	1000
0	0	0.6613	0.4159	0:00:00.180641	1000
0	7	0.732	0.6189	0:00:04.961259	18000
0	7	0.5883	0.2231	0:00:00.275445	1000
0	7	0.6537	0.3952	0:00:00.276327	1000
0	0	0.9002	1.283	0:00:00.281797	1000
7	0	0.99	2.326	0:00:00.276607	1000
7	0	0.7645	0.7209	0:00:00.275560	1000
7	-1.0	0.0	-1.0	0:00:27.593408	100000
7	7	0.8579	1.071	0:00:00.554123	2000
7	7	0.6217	0.3099	0:00:00.276166	1000
19	0	0.9429	1.58	0:00:01.384345	5000
19	19	0.6014	0.257	0:00:00.276216	1000
19	19	0.5061	0.01522	0:00:00.553109	2000
19	19	0.5369	0.09267	0:00:00.256224	1000
19	-1.0	0.0	-1.0	0:00:25.885164	100000
32	0	0.99	2.326	0:00:00.277379	1000
32	32	0.616	0.2949	0:00:00.276553	1000
32	0	0.5224	0.05619	0:00:00.276789	1000
32	0	0.518	0.04506	0:00:00.276085	1000
32	32	0.6559	0.4014	0:00:00.276406	1000
37	37	0.5864	0.2183	0:00:00.277095	1000
37	19	0.9704	1.886	0:00:00.276572	1000
37	19	0.5262	0.06573	0:00:00.552619	2000
37	-1.0	0.0	-1.0	0:00:27.558906	100000
37	7	0.638	0.3531	0:00:00.276219	1000
32	32	0.8699	1.126	0:00:00.275999	1000
32	32	0.6004	0.2543	0:00:00.277362	1000
32	36	0.5883	0.223	0:00:00.831046	3000
32	43	0.5144	0.03604	0:00:00.558441	2000
32	32	0.5044	0.01098	0:00:02.496238	9000
33	33	0.5196	0.04906	0:00:01.107685	4000
33	33	0.6708	0.442	0:00:00.553617	2000
33	33	0.6877	0.4894	0:00:00.256477	1000
33	49	0.6736	0.4498	0:00:00.511538	2000
33	49	0.6395	0.3572	0:00:00.553868	2000
36	36	0.6426	0.3654	0:00:00.283431	1000
36	36	0.6308	0.334	0:00:00.255633	1000
36	36	0.7159	0.5708	0:00:00.254624	1000
36	36	0.5047	0.01179	0:00:00.554581	2000
36	36	0.746	0.662	0:00:00.276002	1000
43	32	0.5162	0.04053	0:00:00.511504	2000
43	43	0.5979	0.248	0:00:00.254529	1000
43	43	0.6981	0.519	0:00:00.277541	1000
43	43	0.7036	0.5347	0:00:00.276181	1000
43	43	0.6928	0.5037	0:00:00.255497	1000
49	33	0.7954	0.8253	0:00:00.276249	1000
49	33	0.7717	0.7443	0:00:00.276619	1000
49	33	0.99	2.326	0:00:00.275846	1000
49	33	0.9333	1.501	0:00:00.255857	1000
49	33	0.99	2.326	0:00:00.276750	1000
6	22	0.656	0.4016	0:00:00.269532	1000
6	6	0.5926	0.2342	0:00:00.275947	1000
6	16	0.6372	0.3509	0:00:00.276692	1000
6	16	0.7213	0.5866	0:00:00.275591	1000
6	22	0.7205	0.5844	0:00:09.675419	35000
13	13	0.7684	0.7337	0:00:00.275616	1000
13	13	0.5352	0.08846	0:00:00.275782	1000
13	18	0.5931	0.2355	0:00:00.275867	1000
13	13	0.8098	0.877	0:00:00.276504	1000
13	13	0.7849	0.7888	0:00:00.275689	1000
16	22	0.5677	0.1706	0:00:00.275485	1000
16	18	0.6348	0.3445	0:00:00.275820	1000
16	16	0.7691	0.736	0:00:00.255523	1000
16	22	0.503	0.007559	0:00:01.762191	7000
16	16	0.7302	0.6133	0:00:00.253711	1000
18	18	0.5663	0.1671	0:00:00.253325	1000
18	18	0.6298	0.3312	0:00:03.015322	11000
18	18	0.5353	0.08859	0:00:00.275516	1000
18	13	0.6071	0.2719	0:00:00.275381	1000
18	18	0.7035	0.5344	0:00:00.255205	1000
22	22	0.6779	0.4619	0:00:00.276190	1000
22	22	0.7171	0.5744	0:00:00.277555	1000
22	22	0.9996	3.361	0:00:00.276259	1000
22	22	0.9394	1.55	0:00:00.276384	1000
22	22	0.6258	0.3206	0:00:00.276967	1000
9	9	0.5808	0.204	0:00:00.267903	1000
9	34	0.5245	0.06143	0:00:00.553010	2000
9	9	0.7863	0.7935	0:00:00.255618	1000
9	36	0.5494	0.1242	0:00:00.270719	1000
9	39	0.5065	0.0164	0:00:00.799085	3000
34	9	0.5587	0.1476	0:00:00.276744	1000
34	34	0.952	1.665	0:00:01.382737	5000
34	34	0.5267	0.0669	0:00:00.553335	2000
34	34	0.6823	0.4742	0:00:00.275247	1000
34	34	0.5346	0.08693	0:00:00.276290	1000
35	36	0.5074	0.01848	0:00:00.276407	1000
35	34	0.6267	0.3231	0:00:00.275217	1000
35	36	0.5173	0.04327	0:00:00.254725	1000
35	39	0.5512	0.1287	0:00:01.020349	4000
35	39	0.6593	0.4105	0:00:11.755234	45000
36	36	0.8327	0.9651	0:00:00.254517	1000
36	36	0.99	2.326	0:00:00.254109	1000
36	36	0.8111	0.882	0:00:00.254821	1000
36	35	0.5662	0.1668	0:00:00.276513	1000
36	9	0.8686	1.12	0:00:00.277372	1000
39	35	0.614	0.2897	0:00:00.276570	1000
39	36	0.8017	0.8478	0:00:00.276650	1000
39	34	0.6003	0.2541	0:00:00.276610	1000
39	36	0.507	0.01748	0:00:04.572999	17000
39	39	0.5067	0.0168	0:00:01.634300	6000
0	0	0.99	2.326	0:00:00.276729	1000
0	0	0.99	2.326	0:00:00.277148	1000
0	0	0.7205	0.5843	0:00:00.276639	1000
0	0	0.5762	0.1921	0:00:03.554651	14000
0	0	0.66	0.4124	0:00:00.254568	1000
12	12	0.5166	0.04156	0:00:00.276324	1000
12	37	0.5057	0.0143	0:00:00.508744	2000
12	12	0.99	2.326	0:00:00.255782	1000
12	12	0.9051	1.311	0:00:00.254626	1000
12	12	0.5236	0.0592	0:00:01.381570	5000
15	15	0.6488	0.3822	0:00:00.276072	1000
15	15	0.5405	0.1018	0:00:00.275789	1000
15	15	0.6127	0.2863	0:00:00.276366	1000
15	15	0.7192	0.5805	0:00:00.276778	1000
15	15	0.7369	0.6339	0:00:00.276707	1000
25	12	0.5129	0.03223	0:00:03.012665	11000
25	12	0.689	0.4931	0:00:00.276504	1000
25	25	0.5377	0.09456	0:00:00.552359	2000
25	25	0.5457	0.1148	0:00:00.552325	2000
25	0	0.5888	0.2244	0:00:00.275352	1000
37	37	0.6874	0.4885	0:00:00.276301	1000
37	0	0.99	2.326	0:00:00.252795	1000
37	37	0.5669	0.1684	0:00:00.235069	1000
37	37	0.526	0.06531	0:00:00.255823	1000
37	37	0.6008	0.2555	0:00:00.234365	1000
0	0	0.661	0.4153	0:00:00.255856	1000
0	0	0.5956	0.242	0:00:00.246886	1000
0	0	0.6631	0.4209	0:00:00.270032	1000
0	11	0.5001	0.0002362	0:00:24.669733	96000
0	0	0.7523	0.6817	0:00:03.951513	15000
6	0	0.7294	0.611	0:00:04.421676	16000
6	37	0.6442	0.3698	0:00:00.275768	1000
6	0	0.6	0.2534	0:00:00.275927	1000
6	6	0.5908	0.2296	0:00:00.276135	1000
6	43	0.5219	0.05497	0:00:00.276592	1000
11	37	0.5528	0.1327	0:00:02.043843	8000
11	0	0.7223	0.5898	0:00:00.254786	1000
11	0	0.552	0.1308	0:00:00.275794	1000
11	0	0.7569	0.6964	0:00:00.275505	1000
11	0	0.5026	0.006394	0:00:02.212223	8000
37	37	0.704	0.5358	0:00:00.276023	1000
37	37	0.8384	0.988	0:00:00.275332	1000
37	0	0.5789	0.199	0:00:00.276215	1000
37	43	0.817	0.9042	0:00:00.275493	1000
37	6	0.6433	0.3674	0:00:00.275406	1000
43	43	0.8642	1.099	0:00:00.276002	1000
43	43	0.7185	0.5785	0:00:00.256274	1000
43	11	0.5947	0.2396	0:00:00.275644	1000
43	43	0.9238	1.431	0:00:00.275704	1000
43	43	0.6948	0.5095	0:00:00.276578	1000
25	25	0.7362	0.6317	0:00:00.275556	1000
25	25	0.8247	0.9333	0:00:00.276039	1000
25	25	0.5124	0.03098	0:00:00.276203	1000
25	25	0.5994	0.2518	0:00:00.275902	1000
25	45	0.5965	0.2442	0:00:00.276630	1000
29	29	0.5592	0.1489	0:00:00.275964	1000
29	29	0.6691	0.4374	0:00:00.276252	1000
29	29	0.6894	0.4942	0:00:00.552176	2000
29	29	0.5529	0.1329	0:00:00.275347	1000
29	29	0.5947	0.2396	0:00:00.276391	1000
31	34	0.5225	0.05655	0:00:00.275197	1000
31	29	0.5268	0.06729	0:00:00.276705	1000
31	29	0.5061	0.01539	0:00:01.381951	5000
31	34	0.6583	0.4077	0:00:00.274839	1000
31	34	0.5934	0.2364	0:00:00.275570	1000
34	25	0.5434	0.1091	0:00:00.275743	1000
34	34	0.7429	0.6522	0:00:00.275152	1000
34	34	0.7048	0.5383	0:00:00.275851	1000
34	-1.0	0.0	-1.0	0:00:27.404524	100000
34	34	0.8766	1.158	0:00:00.279271	1000
45	25	0.8572	1.068	0:00:00.275138	1000
45	34	0.6421	0.3642	0:00:00.275377	1000
45	25	0.5571	0.1435	0:00:00.276159	1000
45	45	0.5127	0.03174	0:00:00.827586	3000
