label	predict	gamma LCB	radius	time	N samples
4	12	0.525	0.0628	0:00:04.199561	16000
4	4	0.5425	0.1067	0:00:00.255302	1000
4	11	0.5172	0.04303	0:00:00.551416	2000
4	4	0.884	1.195	0:00:00.255524	1000
4	4	0.6084	0.2751	0:00:00.276264	1000
8	17	0.6155	0.2937	0:00:00.276198	1000
8	17	0.6075	0.2729	0:00:00.276011	1000
8	17	0.6207	0.3072	0:00:00.276877	1000
8	4	0.5603	0.1518	0:00:00.276413	1000
8	4	0.5616	0.155	0:00:00.275780	1000
11	17	0.6345	0.3438	0:00:00.255508	1000
11	17	0.528	0.07014	0:00:00.255342	1000
11	11	0.5963	0.2437	0:00:00.766718	3000
11	17	0.6445	0.3705	0:00:00.270853	1000
11	17	0.5639	0.1609	0:00:00.270422	1000
12	17	0.5256	0.06427	0:00:00.251033	1000
12	17	0.575	0.1892	0:00:07.641160	30000
12	11	0.6542	0.3968	0:00:00.276399	1000
12	17	0.7836	0.7846	0:00:00.276265	1000
12	12	0.5446	0.112	0:00:00.276470	1000
17	17	0.5619	0.1558	0:00:00.275929	1000
17	17	0.5979	0.248	0:00:00.275402	1000
17	17	0.7013	0.528	0:00:00.274953	1000
17	17	0.5235	0.05892	0:00:00.256068	1000
17	17	0.8574	1.069	0:00:00.254487	1000
4	4	0.6525	0.3921	0:00:00.275300	1000
4	13	0.5492	0.1236	0:00:00.276901	1000
4	4	0.5397	0.09974	0:00:00.275415	1000
4	4	0.5192	0.0482	0:00:01.936526	7000
4	16	0.5026	0.006532	0:00:01.382975	5000
9	9	0.7591	0.7035	0:00:00.276132	1000
9	9	0.7641	0.7194	0:00:00.276479	1000
9	19	0.5185	0.04646	0:00:00.276393	1000
9	16	0.668	0.4345	0:00:00.254735	1000
9	-1.0	0.0	-1.0	0:00:26.469248	100000
13	16	0.99	2.326	0:00:00.276661	1000
13	19	0.5809	0.2041	0:00:00.276145	1000
13	16	0.5431	0.1083	0:00:17.049787	62000
13	19	0.6097	0.2787	0:00:00.276751	1000
13	-1.0	0.0	-1.0	0:00:27.418128	100000
16	16	0.99	2.326	0:00:00.276499	1000
16	9	0.6067	0.2708	0:00:00.275023	1000
16	16	0.5176	0.04425	0:00:04.673258	17000
16	16	0.6973	0.5166	0:00:00.275256	1000
16	9	0.9121	1.354	0:00:00.276121	1000
19	9	0.5138	0.0347	0:00:05.754698	21000
19	9	0.996	2.654	0:00:00.276015	1000
19	13	0.5124	0.03099	0:00:03.869951	14000
19	19	0.615	0.2924	0:00:02.737410	10000
19	16	0.8828	1.189	0:00:00.276076	1000
0	15	0.5497	0.1249	0:00:00.276021	1000
0	3	0.5026	0.006439	0:00:05.248503	19000
0	15	0.5481	0.1208	0:00:00.269562	1000
0	15	0.5189	0.04733	0:00:00.233365	1000
0	15	0.5307	0.07697	0:00:00.275605	1000
3	3	0.627	0.324	0:00:00.276582	1000
3	17	0.5284	0.07127	0:00:00.275769	1000
3	13	0.5172	0.04312	0:00:00.277090	1000
3	17	0.585	0.2147	0:00:13.186704	48000
3	3	0.6341	0.3427	0:00:00.254668	1000
13	17	0.5425	0.1068	0:00:00.271609	1000
13	0	0.5556	0.1399	0:00:00.271077	1000
13	0	0.5378	0.09494	0:00:00.269931	1000
13	17	0.5897	0.2269	0:00:05.503707	20000
13	17	0.5271	0.06805	0:00:00.275348	1000
15	15	0.6025	0.2597	0:00:00.275847	1000
15	15	0.6029	0.2609	0:00:00.274554	1000
15	15	0.5845	0.2133	0:00:00.275553	1000
15	15	0.5447	0.1124	0:00:00.276724	1000
15	17	0.5032	0.007943	0:00:01.655493	6000
17	17	0.702	0.5301	0:00:00.275686	1000
17	0	0.5095	0.02374	0:00:00.275700	1000
17	17	0.5119	0.02988	0:00:00.275848	1000
17	17	0.6863	0.4855	0:00:00.276958	1000
17	17	0.6121	0.2848	0:00:00.275888	1000
4	5	0.5136	0.03397	0:00:00.275109	1000
4	17	0.6108	0.2813	0:00:00.275826	1000
4	5	0.7306	0.6145	0:00:00.275924	1000
4	11	0.6738	0.4505	0:00:00.276852	1000
4	5	0.5468	0.1176	0:00:02.210540	8000
5	17	0.7624	0.7142	0:00:00.255467	1000
5	5	0.5387	0.09728	0:00:00.276116	1000
5	17	0.5229	0.05733	0:00:00.275341	1000
5	5	0.4999	-0.000174	0:00:11.377240	43000
5	12	0.5222	0.05572	0:00:00.275984	1000
11	12	0.5091	0.0228	0:00:00.830699	3000
11	12	0.6548	0.3983	0:00:00.275639	1000
11	11	0.6935	0.5059	0:00:00.274974	1000
11	12	0.5913	0.2308	0:00:00.276262	1000
11	11	0.634	0.3426	0:00:00.275789	1000
12	12	0.5326	0.08187	0:00:00.276230	1000
12	12	0.581	0.2044	0:00:00.276290	1000
12	12	0.5966	0.2446	0:00:00.275948	1000
12	11	0.5376	0.0944	0:00:00.255859	1000
12	17	0.6567	0.4034	0:00:00.275833	1000
17	17	0.7442	0.6565	0:00:00.256522	1000
17	17	0.8034	0.8539	0:00:00.256266	1000
17	17	0.8343	0.9714	0:00:00.255168	1000
17	17	0.6451	0.372	0:00:00.276425	1000
17	17	0.7106	0.5551	0:00:00.276256	1000
1	16	0.5077	0.0192	0:00:04.419210	16000
1	1	0.5023	0.005858	0:00:12.630173	46000
1	10	0.6086	0.2755	0:00:00.253520	1000
1	1	0.5241	0.06045	0:00:00.177761	1000
1	1	0.6847	0.481	0:00:00.272654	1000
6	1	0.7316	0.6177	0:00:00.272715	1000
6	6	0.5137	0.03428	0:00:00.269885	1000
6	6	0.558	0.1458	0:00:00.273178	1000
6	1	0.7297	0.6119	0:00:00.276553	1000
6	6	0.6664	0.4299	0:00:00.276615	1000
10	10	0.521	0.05276	0:00:00.276226	1000
10	16	0.5758	0.1912	0:00:00.277121	1000
10	1	0.5384	0.09649	0:00:00.549049	2000
10	16	0.5137	0.03424	0:00:02.148712	8000
10	-1.0	0.0	-1.0	0:00:26.390697	100000
16	1	0.641	0.3611	0:00:00.256421	1000
16	16	0.6868	0.4869	0:00:00.275855	1000
16	17	0.5263	0.06591	0:00:00.276505	1000
16	16	0.5749	0.1888	0:00:00.255164	1000
16	17	0.6555	0.4002	0:00:00.276159	1000
17	-1.0	0.0	-1.0	0:00:27.499666	100000
17	17	0.7691	0.736	0:00:00.276260	1000
17	17	0.5314	0.07868	0:00:00.275700	1000
17	10	0.6056	0.2678	0:00:00.276342	1000
17	17	0.632	0.3371	0:00:00.275307	1000
2	10	0.99	2.326	0:00:00.276127	1000
2	6	0.72	0.5828	0:00:00.275536	1000
2	10	0.5912	0.2305	0:00:24.446785	90000
2	16	0.6705	0.4414	0:00:00.255689	1000
2	10	0.8389	0.99	0:00:00.275659	1000
6	7	0.5375	0.09423	0:00:00.276806	1000
6	10	0.99	2.326	0:00:00.255105	1000
6	6	0.99	2.326	0:00:00.271818	1000
6	6	0.9844	2.154	0:00:00.268474	1000
6	10	0.5112	0.0281	0:00:00.481299	2000
7	6	0.548	0.1205	0:00:00.265145	1000
7	10	0.7694	0.7369	0:00:00.256058	1000
7	10	0.9635	1.793	0:00:00.276619	1000
7	2	0.5699	0.176	0:00:00.276831	1000
7	6	0.6896	0.4947	0:00:00.276154	1000
10	16	0.5249	0.06237	0:00:00.553061	2000
10	10	0.7586	0.7017	0:00:00.275752	1000
10	10	0.5183	0.04598	0:00:00.276080	1000
10	16	0.9045	1.307	0:00:00.276042	1000
10	10	0.6224	0.3118	0:00:00.275777	1000
16	10	0.6155	0.2938	0:00:00.276901	1000
16	16	0.9724	1.918	0:00:00.276544	1000
16	16	0.7905	0.8081	0:00:00.274886	1000
16	16	0.8452	1.016	0:00:00.274950	1000
16	10	0.6739	0.4508	0:00:00.275907	1000
3	10	0.5414	0.1039	0:00:00.276223	1000
3	3	0.5509	0.1279	0:00:00.274841	1000
3	3	0.5691	0.1741	0:00:00.275963	1000
3	10	0.6276	0.3255	0:00:00.275644	1000
3	10	0.6815	0.4718	0:00:00.275852	1000
10	10	0.6455	0.3733	0:00:00.275713	1000
10	10	0.6411	0.3613	0:00:00.276062	1000
10	10	0.6202	0.306	0:00:00.276513	1000
10	17	0.5974	0.2465	0:00:00.276054	1000
10	17	0.5346	0.08685	0:00:00.276002	1000
11	10	0.5257	0.06442	0:00:00.275983	1000
11	10	0.5067	0.01672	0:00:01.382668	5000
11	10	0.7113	0.5572	0:00:00.276587	1000
11	17	0.5044	0.01113	0:00:01.868349	7000
11	10	0.5221	0.0555	0:00:00.232505	1000
17	17	0.5798	0.2013	0:00:00.231938	1000
17	10	0.5272	0.06834	0:00:00.253791	1000
17	17	0.5121	0.03024	0:00:00.529538	2000
17	10	0.524	0.06023	0:00:00.275992	1000
17	10	0.5677	0.1706	0:00:00.254302	1000
19	10	0.5797	0.2011	0:00:00.234652	1000
19	17	0.51	0.02519	0:00:00.701190	3000
19	10	0.5302	0.07586	0:00:00.255043	1000
19	19	0.6213	0.309	0:00:00.522045	2000
19	19	0.5015	0.003747	0:00:03.818245	14000
6	15	0.5326	0.08181	0:00:00.274901	1000
6	15	0.5184	0.04618	0:00:00.275867	1000
6	18	0.5115	0.02877	0:00:00.255004	1000
6	11	0.7777	0.7646	0:00:00.276317	1000
6	15	0.5271	0.06799	0:00:00.276163	1000
11	12	0.5696	0.1753	0:00:00.276147	1000
11	11	0.6688	0.4366	0:00:01.657763	6000
11	15	0.5835	0.2108	0:00:00.275660	1000
11	18	0.7091	0.5507	0:00:00.276042	1000
11	15	0.5309	0.07745	0:00:00.276328	1000
12	15	0.6441	0.3694	0:00:00.276248	1000
12	18	0.6193	0.3036	0:00:00.275900	1000
12	12	0.5178	0.04474	0:00:01.933493	7000
12	18	0.5022	0.005546	0:00:02.765321	10000
12	6	0.5176	0.04416	0:00:00.276047	1000
15	15	0.6398	0.358	0:00:00.276087	1000
15	15	0.6378	0.3525	0:00:00.275860	1000
15	15	0.6682	0.435	0:00:00.551996	2000
