label	predict	gamma LCB	radius	time	N samples
4	11	0.6823	0.4742	0:00:00.075197	1000
4	4	0.562	0.156	0:00:00.067822	1000
4	12	0.5912	0.2305	0:00:00.067686	1000
4	4	0.6004	0.2544	0:00:00.067722	1000
4	4	0.6157	0.2941	0:00:00.067725	1000
8	8	0.6485	0.3812	0:00:00.067646	1000
8	8	0.6747	0.4529	0:00:00.067873	1000
8	8	0.5983	0.2488	0:00:00.067747	1000
8	8	0.7006	0.5262	0:00:00.067692	1000
8	11	0.6296	0.3308	0:00:00.067630	1000
11	11	0.6437	0.3685	0:00:00.067687	1000
11	11	0.8694	1.124	0:00:00.067954	1000
11	-1.0	0.0	-1.0	0:00:06.708156	100000
11	11	0.6786	0.4639	0:00:00.067533	1000
11	11	0.6892	0.4936	0:00:00.067880	1000
12	12	0.6049	0.266	0:00:00.067677	1000
12	12	0.6019	0.2584	0:00:00.067668	1000
12	12	0.509	0.02251	0:00:00.136918	2000
12	12	0.6295	0.3306	0:00:00.067815	1000
12	12	0.549	0.1232	0:00:00.067925	1000
17	8	0.5124	0.03104	0:00:00.080267	1000
17	8	0.5341	0.08553	0:00:00.177117	1000
17	8	0.526	0.06514	0:00:00.177320	1000
17	8	0.5577	0.1452	0:00:00.176742	1000
17	17	0.5022	0.00545	0:00:01.063391	6000
7	14	0.519	0.04768	0:00:00.178137	1000
7	7	0.6609	0.4148	0:00:00.176980	1000
7	7	0.5592	0.149	0:00:00.177129	1000
7	7	0.6566	0.4033	0:00:00.177047	1000
7	7	0.6797	0.4668	0:00:00.177774	1000
10	14	0.5458	0.115	0:00:00.176803	1000
10	10	0.5471	0.1182	0:00:00.175786	1000
10	10	0.5504	0.1267	0:00:00.176829	1000
10	10	0.632	0.3372	0:00:00.177957	1000
10	19	0.5432	0.1086	0:00:00.177520	1000
11	19	0.5361	0.09061	0:00:00.176940	1000
11	14	0.5638	0.1605	0:00:00.177450	1000
11	11	0.5561	0.1412	0:00:00.177090	1000
11	19	0.5277	0.06961	0:00:00.176732	1000
11	11	0.5512	0.1288	0:00:00.177436	1000
14	7	0.5145	0.0364	0:00:00.176615	1000
14	14	0.5217	0.05446	0:00:00.175983	1000
14	14	0.5888	0.2245	0:00:00.176323	1000
14	7	0.5607	0.1528	0:00:00.176537	1000
14	19	0.6894	0.4941	0:00:00.176828	1000
19	14	0.5327	0.08199	0:00:00.531324	3000
19	14	0.5147	0.03674	0:00:00.176396	1000
19	14	0.6297	0.331	0:00:00.176759	1000
19	14	0.553	0.1333	0:00:00.175693	1000
19	14	0.6103	0.28	0:00:00.176284	1000
2	12	0.5009	0.002321	0:00:02.484218	14000
2	12	0.6854	0.4827	0:00:00.176956	1000
2	12	0.6171	0.2977	0:00:00.175110	1000
2	2	0.6584	0.408	0:00:00.179701	1000
2	12	0.5404	0.1015	0:00:00.275920	1000
6	6	0.6198	0.305	0:00:00.275500	1000
6	6	0.6301	0.332	0:00:00.275643	1000
6	2	0.5305	0.07662	0:00:00.274307	1000
6	6	0.5022	0.005507	0:00:01.657358	6000
6	-1.0	0.0	-1.0	0:00:27.522778	100000
11	11	0.6053	0.2672	0:00:00.276724	1000
11	11	0.5593	0.1493	0:00:00.276270	1000
11	6	0.5894	0.226	0:00:00.275609	1000
11	11	0.6506	0.387	0:00:00.255300	1000
11	11	0.5645	0.1623	0:00:00.254879	1000
12	11	0.5146	0.03654	0:00:00.552908	2000
12	12	0.7382	0.6377	0:00:00.276325	1000
12	12	0.6949	0.5098	0:00:00.276404	1000
12	6	0.6193	0.3035	0:00:00.275914	1000
12	12	0.5702	0.177	0:00:00.275699	1000
16	-1.0	0.0	-1.0	0:00:27.420289	100000
16	16	0.7965	0.8291	0:00:00.275784	1000
16	16	0.537	0.09278	0:00:00.275504	1000
16	16	0.5687	0.1731	0:00:00.276238	1000
16	16	0.5614	0.1546	0:00:00.275855	1000
7	7	0.6837	0.478	0:00:00.275417	1000
7	19	0.7813	0.7764	0:00:00.276150	1000
7	7	0.5445	0.1119	0:00:00.276404	1000
7	7	0.5689	0.1735	0:00:00.275161	1000
7	18	0.5181	0.04533	0:00:00.277086	1000
9	9	0.6756	0.4555	0:00:00.276676	1000
9	9	0.5882	0.2229	0:00:00.276019	1000
9	19	0.5019	0.004717	0:00:01.653823	6000
9	9	0.7207	0.5849	0:00:00.266454	1000
9	9	0.6549	0.3987	0:00:00.267412	1000
15	9	0.5609	0.1533	0:00:00.275924	1000
15	19	0.5104	0.02602	0:00:02.434197	9000
15	15	0.5879	0.2221	0:00:00.275958	1000
15	18	0.8803	1.177	0:00:00.273325	1000
15	15	0.6199	0.3051	0:00:00.267648	1000
18	19	0.88	1.175	0:00:00.259511	1000
18	19	0.5329	0.08262	0:00:00.255157	1000
18	9	0.6263	0.322	0:00:00.276673	1000
18	9	0.5544	0.1368	0:00:00.276936	1000
18	19	0.9101	1.342	0:00:00.276311	1000
19	18	0.581	0.2043	0:00:00.276141	1000
19	18	0.5309	0.07758	0:00:00.552927	2000
19	15	0.5618	0.1556	0:00:00.276489	1000
19	15	0.5555	0.1395	0:00:00.275885	1000
19	19	0.5333	0.08356	0:00:00.553281	2000
0	0	0.5821	0.2074	0:00:00.275796	1000
0	8	0.5033	0.008233	0:00:01.383975	5000
0	0	0.5585	0.1472	0:00:00.276957	1000
0	0	0.5634	0.1596	0:00:00.552634	2000
0	0	0.6288	0.3286	0:00:00.275995	1000
8	10	0.6482	0.3803	0:00:00.276074	1000
8	10	0.542	0.1056	0:00:00.276594	1000
8	10	0.5424	0.1064	0:00:00.275990	1000
8	10	0.5324	0.08129	0:00:00.554124	2000
8	10	0.503	0.007472	0:00:01.353519	5000
10	14	0.5344	0.08625	0:00:00.276760	1000
10	10	0.6823	0.4743	0:00:01.023669	4000
10	10	0.5191	0.04791	0:00:00.233203	1000
10	10	0.6561	0.4019	0:00:00.276279	1000
10	10	0.635	0.3452	0:00:00.276314	1000
13	13	0.6069	0.2713	0:00:00.276422	1000
13	13	0.5478	0.12	0:00:00.276438	1000
13	13	0.6459	0.3743	0:00:00.275523	1000
13	13	0.775	0.7553	0:00:00.276005	1000
13	13	0.5158	0.03964	0:00:00.275629	1000
14	14	0.5481	0.121	0:00:00.276018	1000
14	14	0.5601	0.1513	0:00:00.275912	1000
14	14	0.536	0.09026	0:00:00.276580	1000
14	10	0.5146	0.03664	0:00:00.276253	1000
14	14	0.5401	0.1008	0:00:00.275969	1000
0	0	0.5312	0.07825	0:00:02.208733	8000
0	16	0.5435	0.1093	0:00:06.077988	22000
0	-1.0	0.0	-1.0	0:00:26.949729	100000
0	9	0.5051	0.01272	0:00:03.542322	13000
0	12	0.5019	0.004805	0:00:01.937527	7000
9	0	0.5974	0.2465	0:00:00.277306	1000
9	0	0.7555	0.6918	0:00:00.276977	1000
9	0	0.6745	0.4524	0:00:00.275760	1000
9	19	0.5953	0.2412	0:00:00.275749	1000
